# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F277W    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536081001_0210h_00001
#        jw01536081001_0210h_00002
#        jw01538058001_0210h_00001
#        jw01538058001_0210h_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.36-0.80-1.28%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.4030 119.2 2.4
2.4080 228.4 51.6
2.4130 450.2 55.7
2.4180 820.4 3.0
2.4230 1771.5 92.6
2.4280 3207.3 317.9
2.4330 3422.7 9.2
2.4380 3774.7 45.1
2.4430 4290.9 63.8
2.4480 5057.8 36.8
2.4530 6253.4 115.7
2.4580 7107.3 69.9
2.4630 7911.0 81.6
2.4680 8275.0 80.4
2.4730 8466.8 118.5
2.4780 8630.9 58.4
2.4830 8757.2 118.7
2.4880 8920.4 117.8
2.4930 9104.0 102.6
2.4980 9118.9 32.0
2.5030 9112.5 26.6
2.5080 9096.1 25.6
2.5130 9040.5 67.4
2.5180 8912.0 92.3
2.5230 8929.4 57.0
2.5280 8949.9 104.0
2.5330 9186.2 31.9
2.5380 9273.4 136.6
2.5430 9243.0 53.3
2.5480 9796.9 79.8
2.5530 9997.8 107.6
2.5580 10207.7 89.1
2.5630 10359.2 94.0
2.5680 10518.6 158.4
2.5730 10754.6 59.3
2.5780 11028.4 82.0
2.5830 11171.0 146.2
2.5880 11367.7 128.5
2.5930 11440.7 147.0
2.5980 11459.5 73.1
2.6030 11826.3 92.7
2.6080 12059.5 160.4
2.6130 12176.6 109.7
2.6180 12366.5 143.2
2.6230 12678.2 84.2
2.6280 12063.3 47.0
2.6330 12489.4 49.9
2.6380 12534.4 217.5
2.6430 12623.3 179.6
2.6480 12641.6 34.0
2.6530 12756.8 115.4
2.6580 12782.0 92.9
2.6630 12948.1 111.6
2.6680 13259.8 46.2
2.6730 13353.6 134.3
2.6780 13633.9 127.3
2.6830 13540.4 190.1
2.6880 13693.8 43.9
2.6930 13690.4 38.7
2.6980 13851.5 68.3
2.7030 13874.8 38.2
2.7080 13906.6 72.8
2.7130 13939.5 37.5
2.7180 14043.8 85.7
2.7230 13951.9 140.2
2.7280 13952.4 143.1
2.7330 14130.4 151.3
2.7380 14192.1 100.3
2.7430 14206.7 71.5
2.7480 14054.3 126.0
2.7530 14137.9 96.8
2.7580 14266.2 38.5
2.7630 14231.3 216.8
2.7680 14129.1 190.2
2.7730 14340.5 40.2
2.7780 14081.5 101.9
2.7830 14320.2 155.8
2.7880 14562.8 132.1
2.7930 14566.4 129.6
2.7980 14563.4 152.0
2.8030 14847.0 40.0
2.8080 15096.2 53.5
2.8130 14783.4 181.1
2.8180 14755.7 160.0
2.8230 14631.4 151.6
2.8280 14937.9 49.9
2.8330 14964.7 192.9
2.8380 14839.1 51.1
2.8430 14811.9 150.7
2.8480 14859.8 78.2
2.8530 14952.6 84.0
2.8580 15112.3 64.3
2.8630 15105.0 57.1
2.8680 15433.5 70.3
2.8730 15549.8 56.2
2.8780 15872.6 121.0
2.8830 15978.9 250.6
2.8880 16014.1 211.1
2.8930 16355.0 268.6
2.8980 16168.9 49.5
2.9030 16699.0 61.3
2.9080 16343.4 132.8
2.9130 16280.0 44.0
2.9180 16466.2 103.9
2.9230 16490.8 276.3
2.9280 16334.0 77.5
2.9330 16428.3 95.4
2.9380 16351.0 190.5
2.9430 16488.0 62.9
2.9480 16585.4 193.5
2.9530 16569.6 92.1
2.9580 16525.7 127.0
2.9630 16659.4 122.5
2.9680 16901.1 178.3
2.9730 17021.9 142.1
2.9780 17097.6 56.1
2.9830 17289.0 138.9
2.9880 17266.9 176.5
2.9930 17114.4 245.8
2.9980 17525.0 201.7
3.0030 17503.9 192.2
3.0080 17585.1 63.2
3.0130 17990.4 57.3
3.0180 17905.8 53.2
3.0230 18171.1 171.8
3.0280 18243.2 225.3
3.0330 18650.4 141.7
3.0380 18410.2 205.7
3.0430 18596.5 140.5
3.0480 18294.6 66.9
3.0530 18766.0 206.6
3.0580 18790.2 193.1
3.0630 18794.2 129.5
3.0680 18716.5 50.4
3.0730 18732.8 93.9
3.0780 18716.7 58.9
3.0830 19117.7 242.6
3.0880 19247.7 189.7
3.0930 19144.1 262.9
3.0980 19300.1 70.9
3.1030 18991.3 70.7
3.1080 18598.3 201.1
3.1130 18043.6 111.4
3.1180 15971.3 360.0
3.1230 13676.7 516.9
3.1280 11563.4 641.4
3.1330 9193.7 539.4
3.1380 6928.3 468.7
3.1430 5107.4 442.2
3.1480 3902.8 239.6
3.1530 2898.4 224.4
3.1580 2076.1 199.2
3.1630 1709.6 70.9
