# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F277W    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536081001_02103_00001
#        jw01536081001_02103_00002
#        jw01537030001_02103_00001
#        jw01537030001_02103_00002
#        jw01538058001_02103_00001
#        jw01538058001_02103_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.02-1.28-1.71%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.3710 29.0 35.5
2.3760 -22.5 25.0
2.3810 78.0 53.4
2.3860 27.7 32.0
2.3910 107.0 45.7
2.3960 183.1 13.3
2.4000 206.9 7.3
2.4050 168.5 26.6
2.4100 292.2 8.0
2.4150 523.6 102.8
2.4200 936.4 123.6
2.4250 1930.4 173.6
2.4300 2926.3 123.2
2.4350 3391.8 125.6
2.4400 3860.3 95.1
2.4450 4372.1 68.5
2.4500 5280.7 153.7
2.4550 6230.7 181.4
2.4600 7356.6 83.1
2.4650 8118.5 115.3
2.4700 8375.8 183.2
2.4750 8647.0 131.5
2.4800 8756.1 104.6
2.4850 8856.4 106.6
2.4900 8962.4 121.4
2.4950 9224.3 160.6
2.5000 9404.9 581.2
2.5050 9104.6 192.8
2.5100 9110.9 89.2
2.5150 8997.7 156.4
2.5200 8896.4 145.0
2.5250 8878.7 147.6
2.5300 9025.2 87.3
2.5350 9139.3 173.5
2.5400 9261.9 87.4
2.5450 9328.5 127.1
2.5500 9484.6 155.6
2.5550 9743.9 118.6
2.5600 9934.4 176.4
2.5650 10291.8 159.2
2.5700 10469.9 111.0
2.5750 10702.3 149.2
2.5800 11008.9 137.2
2.5850 11156.1 179.4
2.5900 11056.7 165.7
2.5950 11254.2 157.2
2.6000 11374.8 143.4
2.6050 11616.6 229.9
2.6100 11908.8 138.2
2.6150 12192.8 174.5
2.6200 12288.3 180.7
2.6250 12549.8 313.7
2.6300 12597.1 129.3
2.6350 12461.4 141.1
2.6400 12408.4 198.1
2.6450 12432.4 181.4
2.6500 12376.2 123.1
2.6550 12455.7 135.2
2.6600 12743.4 236.5
2.6650 13112.6 124.8
2.6700 13257.3 174.8
2.6750 13551.2 231.2
2.6800 13495.5 137.5
2.6850 13630.1 179.2
2.6900 13846.0 143.7
2.6950 13869.9 131.9
2.7000 13796.2 143.8
2.7050 13769.9 154.4
2.7100 14092.1 252.6
2.7150 14018.4 202.7
2.7200 14071.2 133.2
2.7250 13920.0 170.0
2.7300 13835.3 182.6
2.7350 13890.4 204.3
2.7400 14039.1 143.8
2.7450 13953.7 247.5
2.7500 13993.8 150.8
2.7550 14034.6 231.6
2.7600 13844.8 163.6
2.7650 13688.6 149.3
2.7700 13748.6 171.4
2.7750 13821.9 176.1
2.7800 13948.5 180.0
2.7850 14159.8 204.8
2.7900 14322.2 211.1
2.7950 14314.5 265.1
2.8000 14563.4 338.8
2.8050 14718.6 266.6
2.8100 14702.1 148.7
2.8150 14877.7 199.7
2.8200 14670.0 186.5
2.8250 14652.4 138.5
2.8300 14617.4 198.3
2.8350 14494.6 287.5
2.8400 14573.7 234.5
2.8450 14779.9 195.5
2.8500 14876.6 192.1
2.8550 14760.0 159.3
2.8600 14934.4 207.7
2.8650 15061.0 220.4
2.8700 15301.7 168.4
2.8750 15565.6 151.7
2.8800 15804.9 353.1
2.8850 16000.0 217.9
2.8900 15836.0 254.4
2.8950 15998.4 298.4
2.9000 16143.4 164.9
2.9050 16241.4 157.8
2.9100 16410.2 172.9
2.9150 16278.9 298.2
2.9200 16166.0 179.9
2.9250 16303.1 251.7
2.9300 16642.8 156.9
2.9350 16342.1 280.6
2.9400 16413.5 158.3
2.9450 16393.8 309.6
2.9500 16310.4 305.3
2.9550 16305.5 284.3
2.9600 16346.8 185.0
2.9650 16730.5 184.4
2.9700 16826.6 165.2
2.9750 16992.8 226.7
2.9800 17061.8 234.1
2.9850 17333.6 178.2
2.9900 17337.8 191.5
2.9950 17477.6 190.5
3.0000 17673.3 192.6
3.0050 17685.1 280.0
3.0100 17767.3 286.4
3.0150 17722.0 212.3
3.0200 17918.5 209.3
3.0250 18000.5 173.4
3.0300 18033.6 229.9
3.0350 18431.4 258.1
3.0400 18272.0 228.6
3.0450 18299.0 213.1
3.0500 18430.7 183.0
3.0550 18586.2 282.2
3.0600 18356.5 226.1
3.0650 18454.5 253.5
3.0700 18380.2 239.4
3.0750 18305.2 214.6
3.0800 18601.1 175.4
3.0850 18789.4 300.0
3.0900 18901.5 178.2
3.0950 19006.6 186.5
3.1000 19292.4 185.2
3.1050 18793.2 261.9
3.1100 18237.9 336.1
3.1150 17171.9 175.4
3.1200 15399.1 373.0
3.1250 13232.1 167.7
3.1300 10770.0 124.4
3.1350 8475.5 300.7
3.1395 6677.4 182.0
3.1445 4962.4 151.1
3.1495 3650.5 88.5
3.1545 2650.1 69.6
3.1595 1868.5 202.9
3.1645 1516.3 130.3
3.1695 1220.0 159.0
3.1750 850.1 36.2
