# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F277W    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536083001_0210h_00001
#        jw01536083001_0210h_00002
#        jw01538059001_0210h_00001
#        jw01538059001_0210h_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.48-1.03-1.59%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.4005 2211.5 163.3
2.4055 3553.4 32.4
2.4105 4822.1 69.6
2.4155 5503.0 83.9
2.4205 5666.4 6.8
2.4255 5850.0 73.5
2.4305 6018.3 97.1
2.4355 6180.9 73.1
2.4405 6412.3 7.8
2.4455 6511.9 36.7
2.4505 6613.1 119.6
2.4555 6847.5 85.4
2.4605 6930.8 127.9
2.4655 7211.3 98.2
2.4705 7503.2 166.5
2.4755 7649.0 63.2
2.4805 7653.3 104.3
2.4855 7795.3 86.8
2.4905 7849.3 26.5
2.4955 7910.5 37.2
2.5005 7776.9 82.3
2.5055 7786.5 37.6
2.5105 7757.3 107.2
2.5155 7818.6 92.0
2.5205 7734.5 115.8
2.5255 7816.8 85.1
2.5305 8086.3 73.6
2.5355 8192.4 157.7
2.5405 8411.7 54.7
2.5455 8504.1 99.3
2.5505 8731.4 66.6
2.5555 8870.3 146.8
2.5605 9021.4 115.8
2.5655 9210.6 143.5
2.5705 9305.2 76.7
2.5755 9255.5 100.9
2.5805 9537.0 119.4
2.5855 9875.5 134.4
2.5905 9932.9 26.9
2.5955 10073.9 110.6
2.6005 10283.0 18.9
2.6055 10321.4 135.5
2.6105 10426.7 74.2
2.6155 10642.2 103.3
2.6205 10546.0 72.9
2.6255 10738.9 115.2
2.6305 10832.0 167.2
2.6355 11012.0 50.9
2.6405 11138.8 74.7
2.6455 11222.1 135.7
2.6505 11259.3 17.4
2.6555 11274.6 84.2
2.6605 11455.2 104.3
2.6655 11589.0 62.5
2.6705 11526.3 270.7
2.6755 11734.4 319.6
2.6805 11904.2 62.0
2.6855 11978.6 139.4
2.6905 11948.4 143.4
2.6955 11968.7 157.6
2.7005 12223.6 301.9
2.7055 12347.7 234.7
2.7105 12324.8 111.3
2.7155 12581.3 139.7
2.7205 12384.1 130.5
2.7255 12259.3 40.6
2.7305 12444.3 43.2
2.7355 12447.0 203.5
2.7405 12203.9 15.1
2.7455 12376.7 18.6
2.7505 12229.5 290.1
2.7555 12275.2 121.0
2.7605 12420.3 80.7
2.7655 12180.0 200.5
2.7705 12180.2 122.1
2.7755 12304.6 206.8
2.7805 12457.6 15.2
2.7855 12588.9 373.8
2.7905 12627.4 24.8
2.7955 12523.8 137.0
2.8005 12610.8 66.1
2.8055 12634.0 182.5
2.8105 12761.8 73.2
2.8155 12762.0 78.2
2.8205 12738.1 162.5
2.8255 12963.8 151.1
2.8305 13034.7 83.9
2.8355 13035.9 120.7
2.8405 12999.9 163.2
2.8455 13272.9 151.2
2.8505 13305.7 98.2
2.8555 13293.8 165.4
2.8605 13453.3 149.7
2.8655 13422.5 38.3
2.8705 13584.0 69.0
2.8755 14015.0 278.8
2.8805 13647.8 112.5
2.8855 13745.8 81.7
2.8905 13903.3 123.8
2.8955 13994.9 23.3
2.9005 14269.1 225.6
2.9055 14016.9 27.3
2.9105 13928.4 133.1
2.9155 14162.5 259.1
2.9205 14131.7 173.1
2.9255 13880.4 152.3
2.9305 14080.0 140.8
2.9355 13980.0 47.5
2.9405 13794.1 51.6
2.9455 13739.8 68.6
2.9505 14087.1 130.5
2.9555 14396.0 333.9
2.9605 14249.9 175.3
2.9655 14100.5 148.0
2.9705 14451.8 229.9
2.9755 14420.9 188.2
2.9805 14486.1 110.2
2.9855 14688.9 99.7
2.9905 14729.9 229.9
2.9955 14736.5 142.7
3.0005 14568.0 224.6
3.0055 15038.0 223.9
3.0105 15210.9 160.7
3.0155 15158.4 266.7
3.0205 15261.0 103.7
3.0255 15211.4 127.9
3.0305 15538.6 160.7
3.0355 15481.2 333.7
3.0405 16283.6 480.4
3.0455 16069.8 161.8
3.0505 15614.0 201.6
3.0555 15845.4 168.0
3.0605 15729.4 190.0
3.0655 16094.1 42.8
3.0705 16202.0 215.7
3.0755 16129.3 97.9
3.0805 15969.8 67.0
3.0855 16044.6 64.7
3.0905 16117.5 273.1
3.0955 15480.7 127.6
3.1005 14772.8 84.1
3.1055 13426.6 73.6
3.1105 11695.0 183.1
3.1155 9907.7 13.0
3.1205 7470.2 310.6
3.1255 5622.1 275.0
3.1305 4567.8 51.1
3.1355 3209.2 203.4
3.1405 2426.9 189.3
3.1455 1657.5 147.5
3.1505 1281.0 75.1
3.1555 976.1 22.9
3.1605 749.2 142.3
3.1655 721.3 37.0
3.1705 580.6 72.7
