# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F277W    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536083001_02103_00001
#        jw01536083001_02103_00002
#        jw01537031001_02103_00001
#        jw01537031001_02103_00002
#        jw01538059001_02103_00001
#        jw01538059001_02103_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.56-0.93-1.35%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.3950 1150.2 137.6
2.4000 2279.3 11.9
2.4050 3582.1 85.2
2.4100 4637.5 146.1
2.4150 5165.2 74.3
2.4200 5404.1 28.8
2.4250 5530.0 56.4
2.4300 5801.9 39.8
2.4350 6007.8 100.5
2.4400 6201.3 63.9
2.4450 6443.1 60.8
2.4500 6502.9 87.0
2.4550 6710.2 166.7
2.4600 6883.3 60.1
2.4650 7054.8 83.2
2.4700 7271.1 76.6
2.4750 7436.6 47.2
2.4800 7581.7 87.0
2.4850 7684.1 76.5
2.4900 7714.5 50.4
2.4950 7750.2 108.1
2.5000 7661.6 45.5
2.5050 7697.5 131.8
2.5100 7564.2 93.2
2.5150 7590.3 99.9
2.5200 7652.7 96.2
2.5250 7743.2 59.2
2.5300 7858.6 124.5
2.5350 8022.2 128.5
2.5400 8115.1 67.1
2.5450 8185.6 44.5
2.5500 8508.2 148.1
2.5550 8596.4 87.3
2.5600 8777.3 46.7
2.5650 8766.0 78.0
2.5700 8996.8 67.6
2.5750 9064.1 105.0
2.5800 9161.8 114.1
2.5850 9531.0 141.0
2.5900 9999.6 186.6
2.5950 9864.2 80.7
2.6000 9990.7 52.4
2.6050 10121.1 90.5
2.6100 10156.4 167.8
2.6150 10176.5 146.4
2.6200 10361.6 54.9
2.6250 10476.7 135.5
2.6300 10317.3 154.2
2.6350 10588.0 103.2
2.6400 10738.5 143.7
