# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F300M    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536081001_0210b_00001
#        jw01536081001_0210b_00002
#        jw01537030001_0210b_00001
#        jw01537030001_0210b_00002
#        jw01538058001_0210b_00001
#        jw01538058001_0210b_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.01-1.24-1.69%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.7520 -167.1 75.9
2.7570 -174.0 66.1
2.7620 -85.4 118.4
2.7670 -107.7 95.6
2.7720 -96.5 270.2
2.7770 -41.0 169.4
2.7805 200.7 371.3
2.7855 301.5 3.3
2.7900 232.5 83.7
2.7950 351.0 214.5
2.8000 602.7 138.3
2.8050 760.3 87.6
2.8100 1046.9 30.1
2.8150 1608.7 54.2
2.8200 2259.6 172.5
2.8250 3448.7 105.8
2.8300 4937.6 47.8
2.8350 6990.5 82.6
2.8400 8877.4 162.0
2.8450 10769.9 241.9
2.8500 12722.7 227.4
2.8550 13510.0 175.0
2.8600 14212.7 168.8
2.8650 14706.7 140.6
2.8700 14993.0 186.4
2.8750 15156.7 195.4
2.8800 15394.4 302.5
2.8850 15320.4 160.2
2.8900 15278.8 154.0
2.8950 15489.9 218.2
2.9000 15750.6 180.9
2.9050 15837.2 255.3
2.9100 15948.9 327.2
2.9150 15962.6 161.6
2.9200 15828.7 150.3
2.9250 16006.6 207.7
2.9300 16118.4 183.1
2.9350 16379.1 192.6
2.9400 16382.7 203.5
2.9450 16378.4 201.3
2.9500 16338.9 306.2
2.9550 16421.5 198.3
2.9600 16191.8 206.3
2.9650 16388.4 221.0
2.9700 16593.1 166.9
2.9750 16851.4 215.3
2.9800 17160.9 347.1
2.9850 17178.0 190.0
2.9900 17403.3 171.0
2.9950 17655.7 243.8
3.0000 17952.7 188.6
3.0050 17779.3 333.9
3.0100 17904.8 197.7
3.0150 17874.5 170.0
3.0200 18149.4 212.1
3.0250 18328.8 197.2
3.0300 18255.2 199.9
3.0350 18410.4 288.5
3.0400 18460.7 262.3
3.0450 18423.7 263.6
3.0500 18572.9 290.0
3.0550 18441.3 174.1
3.0600 18456.9 375.5
3.0650 18660.7 335.0
3.0700 18407.8 187.4
3.0750 18640.9 182.3
3.0800 18927.2 239.0
3.0850 18945.5 278.1
3.0900 19052.8 238.4
3.0950 19454.0 201.4
3.1000 19446.2 240.8
3.1050 19483.7 192.6
3.1100 19722.6 185.4
3.1150 19659.5 224.2
3.1200 19831.6 205.8
3.1250 19713.7 191.6
3.1300 19524.7 230.9
3.1350 18367.9 304.4
3.1400 16607.9 234.9
3.1450 13780.0 196.5
3.1500 10960.0 195.7
3.1550 8162.4 336.1
3.1600 5855.6 103.6
3.1650 4174.9 163.0
3.1695 3340.0 243.7
3.1745 2362.5 151.6
3.1795 1800.7 187.7
3.1845 1405.9 215.1
3.1895 1087.8 182.9
3.1945 884.4 182.8
3.1995 666.0 23.2
3.2050 534.4 25.5
