# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F322W2    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536081001_0210j_00001
#        jw01536081001_0210j_00002
#        jw01538058001_0210j_00001
#        jw01538058001_0210j_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.47-0.88-1.29%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.4032 1137.9 29.1
2.4082 1723.5 24.0
2.4133 2623.3 138.2
2.4183 3890.8 15.3
2.4232 5516.3 96.5
2.4283 7014.6 87.2
2.4333 7296.9 82.0
2.4383 7470.8 235.3
2.4432 7502.9 223.7
2.4482 7801.3 48.9
2.4533 7921.7 142.8
2.4583 8008.3 106.6
2.4632 8262.4 142.9
2.4682 8503.7 215.9
2.4733 8688.8 86.9
2.4783 8811.6 50.5
2.4832 8875.2 111.2
2.4882 8988.1 60.9
2.4933 9098.3 48.3
2.4983 9087.9 74.2
2.5032 9130.0 71.8
2.5082 9330.0 79.0
2.5133 9350.7 60.9
2.5183 9529.6 87.6
2.5232 9703.1 196.9
2.5282 9716.6 151.0
2.5332 9909.3 121.6
2.5383 10054.1 123.1
2.5433 9990.4 52.5
2.5482 10120.0 186.7
2.5533 10212.2 153.5
2.5583 10049.4 111.6
2.5633 10102.1 69.7
2.5682 10049.6 78.0
2.5732 10272.8 174.8
2.5783 10590.7 200.8
2.5833 11062.2 132.0
2.5882 11345.1 83.8
2.5932 11693.5 126.1
2.5983 11808.9 93.0
2.6033 12062.7 173.1
2.6082 12309.6 182.7
2.6132 12397.5 215.3
2.6183 12336.0 88.8
2.6233 12716.5 84.6
2.6282 11842.8 239.4
2.6332 12401.2 62.1
2.6383 12619.7 192.2
2.6433 12706.1 160.5
2.6482 12788.7 77.3
2.6532 13023.9 102.5
2.6582 13200.3 68.0
2.6633 13421.9 68.5
2.6683 13416.5 130.5
2.6732 13768.2 214.5
2.6783 13695.1 53.7
2.6833 13603.6 184.0
2.6883 13838.3 62.4
2.6932 13998.1 69.7
2.6982 13955.9 168.9
2.7033 14080.4 143.0
2.7083 14160.4 145.8
2.7132 14225.3 164.3
2.7182 14290.4 135.8
2.7233 14435.8 193.7
2.7283 14217.8 92.4
2.7332 14132.8 230.0
2.7382 14216.4 116.0
2.7433 14008.2 93.1
2.7483 14026.3 161.7
2.7532 14163.4 99.7
2.7582 14046.1 55.2
2.7633 13874.3 209.8
2.7683 14068.1 168.9
2.7732 14252.2 89.2
2.7782 14247.9 60.2
2.7832 14496.2 102.7
2.7883 14722.6 123.2
2.7933 14824.9 58.4
2.7982 14836.7 119.3
2.8033 14898.0 130.5
2.8083 14955.2 155.6
2.8133 15053.7 85.4
2.8182 14942.3 121.0
2.8232 15004.0 243.7
2.8283 15180.2 134.3
2.8333 15203.1 220.4
2.8382 15100.8 209.0
2.8432 15304.4 96.1
2.8483 15247.6 127.1
2.8533 15285.1 208.1
2.8582 15540.2 63.1
2.8632 15499.0 68.7
2.8683 15840.7 173.2
2.8733 15754.4 179.2
2.8782 15763.5 206.3
2.8832 16173.3 215.3
2.8883 16054.3 130.1
2.8933 16056.7 119.0
2.8982 16153.2 162.3
2.9032 16321.9 88.6
2.9082 16346.8 66.6
2.9133 16547.0 65.2
2.9183 16511.5 184.6
2.9232 16626.1 148.7
2.9283 16682.3 69.7
2.9333 16674.6 97.4
2.9383 16815.0 165.5
2.9432 16921.1 229.4
2.9482 16985.3 140.7
2.9533 16758.6 67.7
2.9583 16803.6 123.7
2.9632 16918.2 184.0
2.9682 17044.3 182.0
2.9733 17101.5 102.2
2.9783 17144.0 190.4
2.9832 17192.7 211.9
2.9882 17202.9 219.5
2.9933 17264.5 201.2
2.9983 17690.7 147.9
3.0032 17807.7 294.4
3.0082 17996.1 194.8
3.0133 18205.4 78.4
3.0183 18185.7 302.2
3.0232 18425.4 185.1
3.0282 18588.8 118.0
3.0332 18863.9 143.5
3.0383 18694.0 112.3
3.0433 18582.5 190.7
3.0482 18466.4 308.1
3.0533 18871.0 82.0
3.0583 18993.9 155.1
3.0633 19010.4 74.6
3.0682 19211.5 157.8
3.0732 19059.2 125.2
3.0783 19067.9 120.7
3.0833 19256.5 75.9
3.0882 19265.8 88.2
3.0932 19405.7 119.1
3.0983 19544.4 78.2
3.1033 19565.9 209.9
3.1082 19760.4 102.4
3.1132 19877.2 78.0
3.1183 19819.4 92.1
3.1233 19867.9 226.9
3.1282 19721.5 139.7
3.1332 19863.7 139.4
3.1383 20136.8 109.4
3.1433 20148.0 120.1
3.1482 20212.5 174.5
3.1532 20508.0 108.1
3.1582 20342.5 488.1
3.1633 20363.4 136.0
3.1683 20648.7 81.2
3.1732 20818.7 223.4
3.1783 20712.9 193.3
3.1833 20916.9 134.7
3.1883 21291.8 89.8
3.1932 21131.7 223.5
3.1982 21023.8 301.9
3.2033 21176.8 256.6
3.2083 21541.9 408.0
3.2132 21140.9 307.2
3.2182 21358.5 209.0
3.2233 21256.5 402.7
3.2283 21200.6 95.8
3.2332 21212.7 244.9
3.2382 21344.5 198.0
3.2433 21530.2 97.2
3.2483 21654.3 170.7
3.2532 21743.1 85.4
3.2582 21931.0 419.2
3.2633 22044.9 194.5
3.2683 21986.1 125.8
3.2732 21987.5 243.0
3.2782 22322.0 115.8
3.2832 22239.4 303.6
3.2883 21914.3 104.4
3.2933 22592.6 259.9
3.2982 21944.6 232.6
3.3033 22379.4 96.2
3.3083 22336.9 216.5
3.3133 22338.6 87.7
3.3182 22407.3 91.0
3.3232 22353.4 306.0
3.3283 22807.1 219.5
3.3333 22908.5 353.5
3.3382 22739.1 294.3
3.3432 22658.3 93.6
3.3483 22791.6 163.8
3.3533 22981.1 218.4
3.3582 22915.5 366.2
3.3632 23185.4 93.8
3.3683 23323.4 162.0
3.3733 23294.6 124.4
3.3782 23461.9 249.5
3.3832 23445.6 283.7
3.3883 23456.3 101.4
3.3933 23733.2 242.4
3.3982 23871.2 266.0
3.4032 23727.8 242.6
3.4082 23756.0 404.6
3.4133 23802.5 188.6
3.4183 23659.0 188.8
3.4232 23698.5 134.3
3.4283 24035.3 317.4
3.4333 23863.7 151.4
3.4383 23851.9 218.4
3.4432 23934.4 98.3
3.4482 23706.9 93.6
3.4533 24143.5 156.2
3.4583 24269.5 219.0
3.4632 24256.0 255.0
3.4682 24526.9 96.9
3.4733 24525.9 243.3
3.4783 24818.6 247.1
3.4832 24651.7 184.8
3.4882 24918.5 144.2
3.4933 24697.5 100.6
3.4983 24479.4 262.6
3.5032 24389.7 123.2
3.5082 24626.0 175.9
3.5133 24688.6 263.2
3.5183 24812.8 297.0
3.5232 24669.4 191.7
3.5282 25080.0 338.4
3.5332 25034.8 302.7
3.5383 24709.8 125.4
3.5433 24831.5 199.2
3.5482 24910.2 222.8
3.5533 24869.3 287.0
3.5583 25125.0 253.4
3.5633 24883.9 113.7
3.5682 24831.0 182.7
3.5732 24889.5 334.6
3.5783 25175.8 99.9
3.5833 25111.1 258.3
3.5882 25035.2 274.3
3.5932 25221.6 261.2
3.5983 25140.7 185.4
3.6033 25002.4 131.9
3.6082 25200.0 283.1
3.6132 25002.1 132.9
3.6183 25154.0 163.3
3.6233 25227.1 228.9
3.6282 25246.4 152.7
3.6332 25433.5 152.8
3.6383 25453.2 147.7
3.6433 25000.0 178.6
3.6482 25220.0 121.6
3.6532 25349.4 168.1
3.6582 25187.0 104.5
3.6633 25190.7 255.9
3.6683 25273.4 311.6
3.6732 24923.7 116.4
3.6783 25109.6 234.2
3.6833 24888.2 235.0
3.6883 24935.0 141.1
3.6932 24962.6 212.5
3.6982 25221.9 314.0
3.7033 25419.9 230.8
3.7083 25414.2 131.5
3.7132 25596.5 217.2
3.7182 25276.5 460.7
3.7233 25227.1 140.5
3.7283 25072.4 344.8
3.7332 25347.1 107.8
3.7382 25484.5 143.1
3.7433 25116.0 179.0
3.7483 25319.7 120.6
3.7532 25358.5 243.0
3.7582 25332.9 202.1
3.7633 25503.6 137.9
3.7683 25316.2 253.9
3.7732 25043.9 275.7
3.7782 25111.6 98.6
3.7832 25155.0 178.8
3.7883 25236.9 314.0
3.7933 25471.8 118.9
3.7982 25116.0 232.0
3.8033 25394.7 265.9
3.8083 24990.4 252.5
3.8133 25250.0 240.1
3.8182 25182.9 570.4
3.8232 25381.5 459.2
3.8283 24943.0 277.0
3.8333 25100.2 325.0
3.8382 24877.4 350.9
3.8432 24530.3 116.5
3.8483 24421.1 96.0
3.8533 24565.8 314.9
3.8582 24617.6 308.0
3.8632 24948.6 380.0
3.8683 24398.1 849.0
3.8733 24257.3 125.3
3.8782 24773.8 229.0
3.8832 24845.7 360.2
3.8883 24290.8 397.1
3.8933 23667.2 110.5
3.8982 23860.6 192.1
3.9032 24063.3 501.1
3.9082 23975.0 349.4
3.9133 23850.9 312.1
3.9183 23677.9 297.7
3.9232 24280.5 211.5
3.9283 24093.2 247.7
3.9333 24061.1 285.9
3.9383 23759.6 109.2
3.9432 23630.5 92.7
3.9482 23566.9 249.0
3.9533 23252.8 261.1
3.9583 22771.4 261.2
3.9632 21961.0 188.3
3.9682 20961.7 181.0
3.9733 19619.9 241.8
3.9783 18076.1 73.9
3.9832 16662.6 176.4
3.9882 14984.3 154.7
3.9933 13568.1 291.8
3.9983 11944.0 66.5
4.0032 10699.2 200.4
4.0083 9074.1 67.9
4.0133 7491.9 479.8
4.0183 6627.0 157.9
4.0232 5687.7 219.9
4.0282 4748.4 70.8
4.0332 4085.1 180.4
4.0382 3550.3 259.3
4.0433 2785.8 11.1
4.0483 2359.6 40.4
4.0533 2032.5 124.5
4.0583 1497.0 120.8
4.0633 1316.3 134.3
4.0690 1178.0 214.9
