# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F322W2    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536081001_02105_00001
#        jw01536081001_02105_00002
#        jw01537030001_02105_00001
#        jw01537030001_02105_00002
#        jw01538058001_02105_00001
#        jw01538058001_02105_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.93-1.25-1.63%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.3693 497.5 4.2
2.3742 560.0 4.8
2.3792 559.6 14.3
2.3842 596.8 36.3
2.3892 750.9 93.0
2.3942 905.5 79.2
2.3990 886.9 281.5
2.4040 1344.1 253.8
2.4090 1814.0 34.8
2.4140 2751.8 152.6
2.4190 4071.2 246.6
2.4240 5451.3 110.6
2.4290 6619.5 128.2
2.4340 7312.1 266.9
2.4390 7472.0 97.7
2.4440 7603.0 64.6
2.4490 7622.0 76.5
2.4540 7793.2 80.0
2.4590 8209.2 311.8
2.4640 8250.8 105.3
2.4690 8387.8 71.2
2.4740 8684.9 341.4
2.4790 8715.1 102.4
2.4840 8719.4 120.2
2.4890 8696.0 102.9
2.4940 9027.4 339.6
2.4990 9241.0 421.3
2.5040 9205.3 635.2
2.5090 9257.8 348.0
2.5140 9345.4 394.1
2.5190 9303.8 358.9
2.5240 9267.9 79.2
2.5290 9656.2 164.3
2.5340 9684.3 359.8
2.5390 9980.4 406.5
2.5440 9851.1 122.0
2.5490 9994.5 220.4
2.5540 9716.7 103.8
2.5590 9631.2 326.9
2.5640 9800.9 160.6
2.5690 9774.9 98.1
2.5740 10176.9 103.6
2.5790 10531.6 234.8
2.5840 10644.4 96.7
2.5890 10956.2 193.8
2.5940 11367.0 167.5
2.5990 11620.2 248.4
2.6040 11953.1 231.8
2.6090 11984.9 105.4
2.6140 12338.3 278.9
2.6190 12271.9 330.2
2.6240 12467.3 394.8
2.6290 12573.7 466.8
2.6340 12335.0 112.7
2.6390 12522.0 165.6
2.6440 12615.5 237.9
2.6490 12564.4 225.8
2.6540 12590.1 144.0
2.6590 12813.0 124.3
2.6640 13139.2 111.6
2.6690 13419.3 119.9
2.6740 13697.3 366.1
2.6790 13598.6 178.2
2.6840 13504.2 192.3
2.6890 13741.6 204.9
2.6940 13771.7 119.1
2.6990 14009.0 228.3
2.7040 13995.4 337.4
2.7090 14202.2 234.1
2.7140 14318.9 183.3
2.7190 14381.8 197.5
2.7240 14148.4 196.1
2.7290 14098.8 287.0
2.7340 13997.3 203.1
2.7390 13898.2 166.0
2.7440 13926.4 213.0
2.7490 13834.5 194.0
2.7540 13829.6 270.8
2.7590 13786.0 238.0
2.7640 13454.9 221.5
2.7690 13690.2 196.7
2.7740 13754.0 185.4
2.7790 13938.6 207.1
2.7840 14113.5 136.1
2.7890 14365.4 241.6
2.7940 14512.1 249.1
2.7990 14419.1 282.8
2.8040 14626.5 272.8
2.8090 14812.3 317.6
2.8140 14908.0 216.7
2.8190 14939.0 332.7
2.8240 14809.0 145.8
2.8290 15015.5 305.2
2.8340 14475.4 124.3
2.8390 14837.1 198.4
2.8440 15051.2 265.7
2.8490 15153.2 149.8
2.8540 15090.4 198.2
2.8590 15135.5 214.5
2.8640 15531.9 175.0
2.8690 15547.7 231.4
2.8740 15490.1 164.0
2.8790 15713.7 178.6
2.8840 15804.7 178.6
2.8890 15785.4 276.2
2.8940 15919.3 223.3
2.8990 16040.3 155.6
2.9040 16197.4 182.6
2.9090 16279.3 329.9
2.9140 16279.7 429.0
2.9190 16156.4 263.9
2.9240 16416.6 223.6
2.9290 16591.2 213.7
2.9340 16463.8 266.0
2.9390 16679.5 166.0
2.9440 16682.2 213.8
2.9490 16484.5 149.5
2.9540 16703.9 292.9
2.9590 16364.3 165.7
2.9640 16751.9 216.4
2.9690 17010.9 282.4
2.9740 17130.3 295.7
2.9790 17218.9 202.9
2.9840 17289.5 189.5
2.9890 17501.2 229.5
2.9940 17638.7 275.6
2.9990 18032.7 175.0
3.0040 18110.5 319.6
3.0090 17905.0 206.6
3.0140 17947.7 220.1
3.0190 18107.5 157.0
3.0240 18308.4 235.7
3.0290 18350.1 215.1
3.0340 18441.2 157.1
3.0390 18372.9 158.3
