# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F322W2    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536083001_0210j_00001
#        jw01536083001_0210j_00002
#        jw01538059001_0210j_00001
#        jw01538059001_0210j_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.29-0.85-1.51%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.3930 -47.9 0.0
2.4000 213.0 58.9
2.4050 227.2 69.7
2.4100 408.8 114.4
2.4150 630.9 101.7
2.4200 987.5 1.7
2.4250 1719.9 81.8
2.4300 2444.9 161.8
2.4350 3753.4 326.6
2.4400 5161.3 254.6
2.4450 6146.1 58.1
2.4500 6701.7 215.8
2.4550 6923.3 60.4
2.4600 7003.9 178.1
2.4650 7073.9 178.9
2.4700 7319.3 122.0
2.4750 7271.4 73.8
2.4800 7522.4 56.5
2.4850 7623.0 72.8
2.4900 7680.7 187.1
2.4950 7908.9 138.1
2.5000 7907.7 47.8
2.5050 8024.9 61.7
2.5100 8068.1 17.6
2.5150 8007.7 113.4
2.5200 8105.7 4.5
2.5250 8064.2 179.9
2.5300 8329.8 57.2
2.5350 8289.8 132.4
2.5400 8422.8 86.6
2.5450 8583.7 57.6
2.5500 8681.9 94.3
2.5550 8853.1 72.3
2.5600 9062.8 21.6
2.5650 8869.9 151.4
2.5700 8926.8 9.6
2.5750 8849.7 45.1
2.5800 9033.2 159.0
2.5850 9155.8 144.7
2.5900 9176.7 123.6
2.5950 9544.7 261.8
2.6000 9805.0 36.3
2.6050 10043.6 83.6
2.6100 10407.5 72.7
2.6150 10632.6 71.1
2.6200 10603.0 154.2
2.6250 10834.5 299.6
2.6300 11098.2 93.0
2.6350 10792.8 140.2
2.6400 10988.8 55.4
2.6450 10985.0 73.6
2.6500 10995.3 71.5
2.6550 11122.4 118.8
2.6600 11176.8 208.1
2.6650 11439.9 300.6
2.6700 11396.6 107.2
2.6750 11622.5 93.3
