# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F322W2    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536083001_02105_00001
#        jw01536083001_02105_00002
#        jw01538059001_02105_00001
#        jw01538059001_02105_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.35-0.85-1.49%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
2.3970 189.2 95.1
2.4015 195.6 157.7
2.4065 322.0 169.7
2.4115 523.9 127.5
2.4165 894.0 36.9
2.4215 1356.0 3.4
2.4265 2170.5 32.1
2.4315 3276.3 214.1
2.4365 4639.0 11.0
2.4415 5647.4 38.8
2.4465 6425.8 14.3
2.4515 6618.6 17.9
2.4565 6691.2 68.1
2.4615 6759.9 93.9
2.4665 6940.4 104.9
2.4715 7185.3 112.8
2.4765 7123.6 16.6
2.4815 7290.8 56.8
2.4865 7541.0 110.3
2.4915 7617.9 47.6
2.4965 7723.4 18.7
2.5015 7838.1 170.1
2.5065 7745.0 34.1
2.5115 7773.7 63.0
2.5165 7919.1 94.6
2.5215 7986.8 164.9
2.5265 7804.5 17.7
2.5315 8061.5 153.7
2.5365 8177.1 190.3
2.5415 8338.0 58.6
2.5465 8378.8 93.5
2.5515 8530.8 138.0
2.5565 8617.4 19.3
2.5615 8701.0 168.2
2.5665 8752.3 213.4
2.5715 8531.3 43.0
2.5765 8579.0 105.1
2.5815 9049.3 185.9
2.5865 9504.3 36.0
2.5915 9200.6 81.6
2.5965 9587.9 104.0
2.6015 9848.4 122.8
2.6065 9989.3 130.2
2.6115 10171.9 150.5
2.6165 10307.5 230.0
2.6215 10109.5 98.6
2.6265 10747.8 141.2
2.6315 10611.4 241.5
2.6365 10481.1 96.7
2.6415 10730.1 127.5
2.6465 10668.8 144.7
2.6515 10772.9 133.5
2.6565 11003.2 44.4
2.6615 11111.3 58.1
2.6665 11369.0 154.3
2.6715 11383.9 117.5
2.6765 11807.5 235.7
2.6815 11455.7 34.4
2.6865 11589.7 174.8
2.6915 11712.8 43.6
2.6965 11753.7 179.4
2.7015 11818.9 213.6
2.7065 11781.3 139.5
2.7115 11849.0 136.8
2.7165 12059.0 169.8
2.7215 12036.8 26.8
2.7265 12132.7 72.7
2.7315 12206.9 105.4
2.7365 12119.2 69.1
2.7415 12089.2 99.8
2.7465 12108.9 146.9
2.7515 11939.7 243.6
2.7565 11835.8 66.7
2.7615 12067.2 300.2
2.7665 11886.2 180.4
2.7715 11819.4 110.5
2.7765 11954.0 50.5
2.7815 12093.4 89.7
2.7865 12171.1 92.5
2.7915 12505.0 119.7
2.7965 12608.7 137.5
2.8015 12777.7 114.8
2.8065 12763.1 100.4
2.8115 12833.0 68.1
2.8165 12849.0 44.2
2.8215 13035.2 45.3
2.8265 13073.3 159.0
2.8315 13128.6 56.8
2.8365 12969.0 48.8
2.8415 12956.9 52.5
2.8465 13120.5 96.6
2.8515 13145.7 94.9
2.8565 13205.9 61.8
2.8615 13183.6 218.8
2.8665 13250.4 113.9
2.8715 13537.9 54.0
2.8765 13807.7 299.1
2.8815 13598.5 78.3
2.8865 13748.9 98.1
2.8915 13762.7 118.8
2.8965 13765.3 89.4
2.9015 13772.1 106.2
2.9065 13957.7 196.5
2.9115 13934.2 90.3
2.9165 13984.6 206.9
2.9215 14104.5 96.7
2.9265 14124.4 111.8
2.9315 14258.3 120.9
2.9365 14293.3 34.2
2.9415 14411.5 112.5
2.9465 14316.8 132.4
2.9515 14370.0 133.5
2.9565 14226.6 54.4
2.9615 14235.4 33.8
2.9665 14261.9 133.0
2.9715 14314.9 88.9
2.9765 14451.0 124.6
2.9815 14530.3 139.4
2.9865 14698.2 68.6
2.9915 14714.5 56.4
2.9965 14845.0 117.3
3.0015 15050.8 38.0
3.0065 15110.0 78.1
3.0115 15281.3 196.4
3.0165 15185.8 103.7
3.0215 15333.2 197.5
3.0265 15446.9 130.1
3.0315 15501.3 137.3
3.0365 15599.2 206.1
3.0415 16127.1 290.1
3.0465 15779.2 85.4
3.0515 15565.6 101.0
3.0565 15672.2 38.8
3.0615 15666.5 108.4
3.0665 15879.1 116.4
3.0715 15697.7 97.8
3.0765 15802.3 59.6
3.0815 15801.7 178.5
3.0865 16056.8 264.6
3.0915 15973.0 107.0
3.0965 16038.3 35.7
3.1015 16147.0 39.0
3.1065 16265.5 43.6
3.1115 16223.2 91.7
3.1165 16583.5 43.4
3.1215 16636.9 142.6
3.1265 16524.8 206.5
3.1315 16644.2 46.3
3.1365 16815.4 168.0
3.1415 16711.8 40.4
3.1465 16827.9 121.8
3.1515 16940.5 147.2
3.1565 16957.8 100.9
3.1615 16915.9 83.9
3.1665 16985.2 95.8
3.1715 17033.5 47.5
3.1765 17054.4 133.6
3.1815 17205.7 101.5
3.1865 17244.5 67.8
3.1915 17346.4 104.2
3.1965 17308.7 119.9
3.2015 17249.2 76.3
3.2065 17493.1 162.0
3.2115 17643.9 112.5
3.2165 17394.1 197.2
3.2215 17469.9 49.6
3.2265 17566.0 99.6
3.2315 17661.2 60.1
3.2365 17648.5 102.3
3.2415 17589.9 91.2
3.2465 17659.7 165.7
3.2515 17540.1 204.9
3.2565 17842.9 184.0
3.2615 17875.2 171.2
3.2665 17737.7 125.4
3.2715 17812.4 113.0
3.2765 17679.8 247.7
3.2815 17673.6 155.9
3.2865 17644.8 214.0
3.2915 17562.4 225.1
3.2965 17967.2 164.5
3.3015 18205.5 135.9
3.3065 17984.1 51.8
3.3115 17950.3 272.9
3.3165 17783.3 217.4
3.3215 18234.6 168.0
3.3265 18060.7 153.2
3.3315 17924.6 297.1
3.3365 17983.9 88.0
3.3415 18018.0 231.3
3.3465 18213.6 269.9
3.3515 18274.0 53.5
3.3565 18540.9 196.4
3.3615 18400.0 160.4
3.3665 18595.2 44.9
3.3715 18549.5 71.1
3.3765 18599.4 58.2
3.3815 18705.7 86.6
3.3865 18709.2 64.8
3.3915 18578.9 41.3
3.3965 18667.2 195.2
3.4015 18865.1 42.1
3.4065 18609.9 177.2
3.4115 18971.9 42.3
3.4165 18893.3 216.3
3.4215 18786.1 128.4
3.4265 18846.9 194.5
3.4315 18902.6 136.0
3.4365 18720.0 58.4
3.4415 18945.3 116.0
3.4465 18819.7 196.3
3.4515 18876.3 125.6
3.4565 18766.4 138.9
3.4615 19019.8 170.4
3.4665 18920.0 72.7
3.4715 19114.2 106.2
3.4765 19366.3 43.2
3.4815 19137.0 52.2
3.4865 19232.4 156.5
3.4915 19327.1 349.3
3.4965 19221.9 153.0
3.5015 19278.4 59.2
3.5065 19324.9 250.5
3.5115 19281.9 62.0
3.5165 19347.6 97.6
3.5215 19339.2 172.4
3.5265 19458.9 51.2
3.5315 19376.8 66.5
3.5365 19612.9 43.6
3.5415 19355.2 199.7
3.5465 19202.1 192.7
3.5515 19128.3 211.3
3.5565 19333.2 225.9
3.5615 19189.0 129.4
3.5665 19206.3 90.7
3.5715 19081.2 250.8
3.5765 19269.5 205.9
3.5815 19149.2 296.3
3.5865 18999.7 240.5
3.5915 19213.3 195.8
3.5965 19532.6 291.0
3.6015 19392.5 552.4
3.6065 18974.6 61.9
3.6115 19184.0 63.0
3.6165 19083.5 90.1
3.6215 19291.2 109.6
3.6265 19279.0 43.3
3.6315 19277.8 74.8
3.6365 19096.4 284.9
3.6415 19319.4 149.7
3.6465 19431.2 180.4
3.6515 19367.7 74.8
3.6565 19257.3 234.9
3.6615 19135.7 159.9
3.6665 19122.6 50.8
3.6715 19286.3 42.9
3.6765 18966.2 140.8
3.6815 19293.3 286.8
3.6865 19271.5 350.5
3.6915 19129.4 123.9
3.6965 19039.6 164.5
3.7015 19399.3 43.3
3.7065 19275.7 204.7
3.7115 19150.0 49.5
3.7165 19371.0 125.4
3.7215 18931.9 352.3
3.7265 18918.1 411.0
3.7315 18650.2 433.6
3.7365 18564.1 620.0
3.7415 19064.7 211.5
3.7465 19369.5 238.6
3.7515 19084.6 303.5
3.7565 18906.3 295.2
3.7615 18947.8 350.5
3.7665 19311.5 55.2
3.7715 18823.1 271.7
3.7765 18993.0 300.1
3.7815 19116.6 244.6
3.7865 19001.7 312.9
3.7915 18915.9 42.2
3.7965 19007.8 345.8
3.8015 19081.0 355.8
3.8065 18613.7 390.4
3.8115 18565.3 235.9
3.8165 18875.4 178.8
3.8215 18738.9 307.0
3.8265 18685.4 236.9
3.8315 18706.3 273.3
3.8365 18659.1 437.4
3.8415 18382.0 455.8
3.8465 18925.6 43.0
3.8515 18505.2 272.1
3.8565 18281.5 264.8
3.8615 18065.8 237.7
3.8665 17950.5 39.9
3.8715 18075.6 124.8
3.8765 18133.1 69.4
3.8815 17706.2 189.4
3.8865 17909.8 250.4
3.8915 17832.1 325.7
3.8965 17836.5 305.4
3.9015 17763.8 179.6
3.9065 17868.7 39.9
3.9115 17638.1 69.6
3.9165 17769.0 303.6
3.9215 17857.3 264.3
3.9265 17817.3 257.5
3.9315 17587.1 428.4
3.9365 17583.1 354.8
3.9415 17609.5 341.3
3.9465 17691.1 321.5
3.9515 17786.7 127.1
3.9565 17461.0 39.9
3.9615 17325.2 96.0
3.9665 16653.3 148.1
3.9715 16162.3 40.4
3.9765 15530.7 219.5
3.9815 14286.7 275.0
3.9865 13426.9 94.8
3.9915 12614.7 77.6
3.9965 10989.4 45.7
4.0015 9851.3 258.7
4.0065 8662.5 312.0
4.0115 7523.3 443.1
4.0165 6464.1 306.6
4.0215 5654.7 93.9
4.0265 4558.8 260.0
4.0315 4190.0 478.3
4.0365 3252.6 170.3
4.0415 2566.4 425.3
4.0465 2448.6 33.9
