# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F335M    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536081001_0210r_00001
#        jw01536081001_0210r_00002
#        jw01538058001_0210r_00001
#        jw01538058001_0210r_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.47-0.94-1.33%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.1175 108.9 35.3
3.1227 32.9 156.8
3.1277 148.0 197.5
3.1327 269.5 160.2
3.1378 403.7 26.5
3.1427 398.6 114.4
3.1478 809.2 68.0
3.1528 1110.4 57.6
3.1578 1715.6 146.5
3.1627 2452.8 152.3
3.1677 3500.2 215.1
3.1727 5157.8 231.0
3.1778 6777.8 221.4
3.1827 9117.6 255.9
3.1878 11110.0 195.3
3.1928 13139.2 78.7
3.1978 14600.4 123.0
3.2027 16284.5 212.4
3.2077 17945.9 365.1
3.2127 18492.5 184.2
3.2177 19207.2 226.1
3.2228 19842.9 145.9
3.2278 20588.1 132.0
3.2328 20689.8 254.5
3.2378 21043.2 166.3
3.2428 21171.4 192.6
3.2477 21433.8 113.1
3.2527 21399.3 200.8
3.2577 21463.1 283.6
3.2628 21446.2 251.3
3.2677 21548.4 209.9
3.2728 21409.2 394.4
3.2778 21353.2 365.8
3.2828 21536.5 162.6
3.2877 21590.5 93.1
3.2927 21641.9 236.1
3.2977 21764.9 104.6
3.3028 22070.6 307.5
3.3077 21985.5 311.9
3.3128 21784.7 208.7
3.3178 21680.0 220.3
3.3228 21846.9 238.7
3.3277 21915.5 328.2
3.3327 21922.4 294.0
3.3377 21901.1 234.8
3.3427 21761.4 274.1
3.3478 21907.3 195.2
3.3528 21979.9 172.0
3.3578 22007.2 94.9
3.3628 22295.7 96.2
3.3678 22452.5 120.6
3.3727 22427.3 118.4
3.3777 22384.0 387.5
3.3827 22322.4 295.8
3.3878 22450.9 97.6
3.3927 22396.8 262.9
3.3978 22582.7 101.3
3.4028 22707.3 274.0
3.4078 22947.5 103.1
3.4127 22825.0 100.5
3.4177 22964.6 99.1
3.4227 23281.8 265.8
3.4278 23317.0 161.6
3.4327 23333.4 134.6
3.4378 23309.1 104.6
3.4428 23468.3 228.6
3.4478 23349.5 124.4
3.4527 23512.2 201.9
3.4577 23471.4 195.7
3.4627 23424.9 101.2
3.4677 23592.8 106.4
3.4728 23600.2 214.3
3.4778 23938.7 284.6
3.4828 24178.7 137.2
3.4878 24082.3 159.9
3.4928 23674.7 257.0
3.4977 23083.9 316.6
3.5027 21829.5 146.1
3.5077 20204.7 252.4
3.5128 18202.7 232.9
3.5177 15824.3 346.7
3.5228 13218.9 380.8
3.5278 11364.4 112.3
3.5328 9138.3 325.9
3.5377 7676.8 285.9
3.5427 6319.6 283.4
3.5477 5200.5 279.3
3.5528 4534.5 162.0
3.5577 3834.3 17.9
3.5628 3116.9 229.2
3.5678 2665.4 211.5
3.5728 2375.3 133.9
3.5777 2064.6 10.0
3.5827 1972.5 9.4
