# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F335M    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536081001_0210d_00001
#        jw01536081001_0210d_00002
#        jw01537030001_0210d_00001
#        jw01537030001_0210d_00002
#        jw01538058001_0210d_00001
#        jw01538058001_0210d_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.66-0.95-1.40%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.0850 -76.4 105.7
3.0900 36.8 17.1
3.0950 30.9 102.6
3.1000 121.1 145.2
3.1050 -13.6 56.6
3.1100 88.4 56.4
3.1160 138.4 201.7
3.1210 410.0 54.8
3.1260 56.0 63.6
3.1300 158.3 4.2
3.1350 166.4 77.8
3.1400 439.5 69.5
3.1450 464.0 67.8
3.1500 959.7 52.6
3.1550 1218.2 94.9
3.1600 1866.6 145.1
3.1650 2675.4 128.0
3.1700 3755.9 124.7
3.1750 5312.2 107.9
3.1800 7027.5 183.1
3.1850 9339.8 222.5
3.1900 11144.9 268.1
3.1950 13071.0 330.2
3.2000 14930.8 261.6
3.2050 16696.3 158.6
3.2100 17900.6 166.6
3.2150 18615.9 204.1
3.2200 19351.3 119.6
3.2250 20309.4 140.5
3.2300 20477.4 132.4
3.2350 20913.4 209.5
3.2400 21031.3 178.7
3.2450 21154.8 296.9
3.2500 21137.2 196.8
3.2550 21175.4 130.5
3.2600 21144.5 284.8
3.2650 21016.9 170.8
3.2700 21033.8 220.4
3.2750 21086.0 295.9
3.2800 21059.9 177.0
3.2850 21360.6 185.3
3.2900 21248.5 342.7
3.2950 21207.3 221.6
3.3000 21825.4 136.5
3.3050 21737.2 238.9
3.3100 21853.4 188.1
3.3150 21765.6 253.3
3.3200 21563.3 354.8
3.3250 21856.0 154.2
3.3300 21437.0 284.5
3.3350 21801.6 166.0
3.3400 21739.6 257.5
3.3450 22004.3 162.8
3.3500 22054.7 177.5
3.3550 22066.8 146.6
3.3600 21987.6 347.6
3.3650 22285.6 312.5
3.3700 22203.5 179.8
3.3750 22122.0 219.6
3.3800 22174.7 145.8
3.3850 22443.2 217.2
3.3900 22477.1 242.7
3.3950 22392.5 339.4
3.4000 22196.2 172.6
3.4050 22389.7 184.6
3.4100 22669.4 156.9
3.4150 22850.3 433.6
3.4200 22577.0 167.6
3.4250 23041.1 288.9
3.4300 22824.9 242.5
3.4350 22858.5 304.3
3.4400 23160.4 149.9
3.4450 23125.0 293.2
3.4500 23027.8 152.5
3.4550 22909.8 156.7
3.4600 23017.9 142.0
3.4650 22883.1 182.7
3.4700 23122.9 233.2
3.4750 23231.5 254.3
3.4800 23410.2 211.7
3.4850 23590.1 323.2
3.4900 23537.3 341.8
3.4950 23014.5 142.3
3.5000 21724.0 133.8
3.5050 20793.8 135.0
3.5100 19187.8 204.9
3.5150 17522.7 478.6
3.5200 14948.0 318.8
3.5250 12230.8 116.1
3.5300 10061.3 109.3
3.5350 8311.1 69.6
3.5400 6652.8 154.2
3.5450 5555.9 198.8
3.5500 4664.8 83.0
3.5550 3904.8 104.2
3.5600 3540.1 150.2
3.5650 2802.7 159.3
3.5700 2500.1 28.0
3.5750 1996.7 72.4
3.5800 1596.9 143.6
3.5850 1450.0 108.5
3.5880 1147.8 75.6
3.5930 979.7 106.2
