# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F335M    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536083001_0210d_00001
#        jw01536083001_0210d_00002
#        jw01537031001_0210d_00001
#        jw01537031001_0210d_00002
#        jw01538059001_0210d_00001
#        jw01538059001_0210d_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.31-1.49-1.72%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.1320 741.2 316.3
3.1370 1178.8 76.1
3.1418 1762.3 36.8
3.1467 2906.5 196.5
3.1517 4387.5 66.5
3.1567 6360.9 200.1
3.1618 8487.7 180.9
3.1667 10346.3 178.6
3.1718 11983.7 168.9
3.1768 12833.8 220.8
3.1818 13845.1 247.3
3.1867 14676.9 205.3
3.1917 15303.4 248.4
3.1967 15961.7 205.7
3.2017 16593.1 274.3
3.2067 17068.2 272.9
3.2118 17325.8 287.4
3.2168 17480.9 247.4
3.2218 17518.3 228.6
3.2268 17586.0 282.2
3.2317 17800.9 230.8
3.2367 17743.1 254.4
3.2417 17753.8 260.8
3.2468 17764.9 305.8
3.2517 17829.5 287.7
3.2568 17956.9 236.4
3.2618 18081.0 349.1
3.2668 17796.1 261.4
3.2717 17731.5 321.8
3.2767 17776.8 242.7
3.2817 17616.5 277.8
3.2868 17514.0 376.1
3.2917 17299.1 286.3
3.2968 17521.0 227.1
3.3018 17638.2 244.1
3.3068 17577.1 332.0
3.3117 17583.4 251.4
3.3167 17537.3 321.2
3.3217 17717.2 255.0
3.3267 17628.2 233.4
3.3317 17542.7 231.3
3.3368 17549.8 276.9
3.3418 17494.3 250.3
3.3468 17756.8 248.2
3.3518 17759.3 306.0
3.3567 17915.9 239.2
3.3617 17943.5 267.9
3.3667 18018.1 280.3
3.3718 18084.6 291.3
3.3767 18046.5 237.9
3.3818 18119.3 297.8
3.3868 18088.4 321.4
3.3918 18092.6 271.0
3.3967 17912.0 244.1
3.4017 18237.1 235.0
3.4067 18118.2 299.4
3.4118 18233.2 241.7
3.4167 18237.2 273.3
3.4218 18286.9 304.7
3.4268 18178.1 299.0
3.4318 18290.5 337.7
3.4367 18235.7 261.6
3.4417 18312.9 280.7
3.4467 18143.4 328.1
3.4517 18039.9 294.5
3.4567 18022.4 293.3
3.4618 17986.3 246.5
3.4668 18123.7 235.7
3.4718 18139.2 288.1
3.4768 18670.8 257.1
3.4817 18792.8 242.2
3.4867 18704.0 244.3
3.4917 18931.6 245.1
3.4968 18613.6 239.9
3.5017 17788.5 242.2
3.5068 16836.0 241.1
3.5118 15198.2 197.7
3.5168 13388.9 205.3
3.5217 11741.2 154.1
3.5267 10137.5 161.4
3.5317 8408.1 154.7
3.5368 7007.6 191.9
3.5417 5825.8 378.5
3.5468 4695.7 227.8
3.5518 3906.4 78.9
3.5568 3675.3 439.6
3.5617 2875.3 226.8
3.5667 2297.9 115.3
3.5715 1943.2 371.8
3.5760 1352.0 140.2
3.5810 1153.5 38.2
