# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F356W    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536081001_0210l_00001
#        jw01536081001_0210l_00002
#        jw01538058001_0210l_00001
#        jw01538058001_0210l_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.40-0.82-1.41%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.0933 610.0 1.9
3.0983 682.6 31.0
3.1030 964.3 49.9
3.1080 1261.9 78.7
3.1130 1780.7 59.5
3.1180 2540.1 143.7
3.1230 3430.1 245.0
3.1280 5055.3 268.8
3.1330 6702.2 376.3
3.1380 9244.6 569.8
3.1430 11636.4 393.2
3.1480 14135.9 423.5
3.1530 16102.7 328.2
3.1580 18008.9 57.1
3.1630 19029.4 280.6
3.1680 19849.1 66.2
3.1730 20055.0 335.2
3.1780 20468.1 317.2
3.1830 20485.4 181.0
3.1880 20431.6 140.3
3.1930 20344.5 101.5
3.1980 20444.7 229.7
3.2030 20385.6 90.0
3.2080 21002.7 496.9
3.2130 20516.3 108.8
3.2180 20491.7 133.3
3.2230 20402.1 314.2
3.2280 20764.7 171.3
3.2330 20404.2 176.7
3.2380 20599.9 99.9
3.2430 20878.7 157.3
3.2480 21022.9 129.7
3.2530 21071.2 66.4
3.2580 20907.5 148.1
3.2630 21400.0 134.6
3.2680 21559.9 172.8
3.2730 21118.6 72.4
3.2780 21330.5 225.9
3.2830 21700.8 180.6
3.2880 21509.2 278.2
3.2930 21825.1 317.1
3.2980 21738.0 201.4
3.3030 22214.8 338.8
3.3080 22090.7 249.0
3.3130 21969.4 173.9
3.3180 21922.9 89.2
3.3230 22009.9 166.8
3.3280 22275.7 200.1
3.3330 22585.1 475.9
3.3380 22243.3 205.5
3.3430 22298.9 106.5
3.3480 22532.4 228.0
3.3530 22625.6 167.3
3.3580 22603.0 71.2
3.3630 22782.3 282.1
3.3680 22679.7 111.4
3.3730 22734.4 319.5
3.3780 23113.6 521.8
3.3830 23101.5 235.8
3.3880 23012.4 239.1
3.3930 23224.8 73.1
3.3980 23678.3 170.2
3.4030 23541.7 101.3
3.4080 23640.0 172.1
3.4130 23614.9 74.7
3.4180 23573.6 151.7
3.4230 23675.1 79.0
3.4280 23899.3 75.3
3.4330 23662.0 84.5
3.4380 23704.5 162.7
3.4430 23940.8 305.2
3.4480 23835.1 91.6
3.4530 23828.9 144.9
3.4580 24127.4 112.2
3.4630 24184.6 141.9
3.4680 24123.6 254.9
3.4730 24360.1 85.3
3.4780 24237.6 260.6
3.4830 24256.6 225.5
3.4880 24194.5 321.7
3.4930 23982.4 167.1
3.4980 24229.1 76.2
3.5030 24300.8 331.9
3.5080 24147.6 207.9
3.5130 24297.3 296.1
3.5180 24756.6 277.6
3.5230 24717.0 385.5
3.5280 24953.2 449.3
3.5330 24762.8 174.7
3.5380 24728.4 110.0
3.5430 24881.6 396.8
3.5480 24726.0 104.5
3.5530 25117.5 118.8
3.5580 24771.8 146.2
3.5630 24629.0 123.8
3.5680 24473.2 97.7
3.5730 24737.6 191.0
3.5780 24756.1 80.9
3.5830 25023.8 95.8
3.5880 25013.6 116.6
3.5930 25523.9 193.4
3.5980 25228.7 217.6
3.6030 24621.3 86.0
3.6080 25508.5 465.5
3.6130 25263.3 208.1
3.6180 25390.9 353.7
3.6230 25160.6 286.7
3.6280 25034.9 346.2
3.6330 25027.3 83.1
3.6380 24724.3 79.1
3.6430 24856.0 271.0
3.6480 24960.7 86.4
3.6530 24805.9 78.1
3.6580 24992.1 241.2
3.6630 24979.7 128.5
3.6680 25071.3 277.9
3.6730 25109.6 115.4
3.6780 24714.0 330.6
3.6830 25166.9 176.0
3.6880 25190.7 230.6
3.6930 25505.0 241.3
3.6980 25518.9 503.9
3.7030 25512.4 261.5
3.7080 25293.9 93.5
3.7130 25421.2 177.8
3.7180 25496.0 285.0
3.7230 25163.5 216.0
3.7280 24991.3 247.7
3.7330 25223.3 314.7
3.7380 25212.2 714.2
3.7430 25385.0 372.6
3.7480 25121.6 235.7
3.7530 25224.4 255.3
3.7580 25337.4 209.0
3.7630 25336.8 189.3
3.7680 25477.7 108.2
3.7730 24959.7 276.7
3.7780 25068.2 78.9
3.7830 25108.6 199.9
3.7880 25204.7 449.4
3.7930 25219.9 239.3
3.7980 25269.0 191.1
3.8030 25115.5 303.9
3.8080 24879.8 95.3
3.8130 24799.1 80.8
3.8180 24732.9 82.4
3.8230 25012.8 371.3
3.8280 24735.1 138.1
3.8330 24932.8 342.3
3.8380 25143.8 172.2
3.8430 24672.8 161.0
3.8480 24524.1 143.4
3.8530 24454.0 313.7
3.8580 24618.3 156.2
3.8630 24606.1 180.8
3.8680 24093.7 549.1
3.8730 24016.1 218.6
3.8780 24575.4 113.0
3.8830 24067.3 309.5
3.8880 23562.1 294.2
3.8930 23089.2 289.3
3.8980 22726.6 241.5
3.9030 22420.1 355.6
3.9080 22115.1 124.0
3.9130 21638.1 94.9
3.9180 21681.1 82.0
3.9230 21774.2 180.1
3.9280 20955.8 295.2
3.9330 20286.2 238.2
3.9380 19454.2 267.4
3.9430 18688.3 358.7
3.9480 17515.5 169.0
3.9530 16090.7 251.1
3.9580 14281.9 411.2
3.9630 12538.3 399.5
3.9680 10783.0 370.7
3.9730 9267.3 30.0
3.9780 7639.9 224.2
3.9830 6414.6 56.3
3.9880 5221.9 150.2
3.9930 4146.3 200.6
3.9980 3550.4 96.3
4.0030 2934.9 125.0
4.0080 2503.7 113.0
4.0130 1887.0 167.0
