# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F356W    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536083001_0210l_00001
#        jw01536083001_0210l_00002
#        jw01538059001_0210l_00001
#        jw01538059001_0210l_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.46-0.96-1.56%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.0720 348.7 92.2
3.0753 426.2 18.3
3.0802 719.3 5.2
3.0853 743.3 141.2
3.0903 1236.7 125.8
3.0953 1590.1 178.0
3.1002 2429.3 93.0
3.1052 3492.6 196.0
3.1102 4494.0 42.5
3.1153 5997.6 251.8
3.1202 7830.4 60.0
3.1252 9757.2 53.6
3.1303 11852.2 88.4
3.1353 13481.4 152.0
3.1402 14787.6 110.3
3.1452 15816.8 105.6
3.1502 16476.4 65.7
3.1553 16881.3 188.1
3.1603 16784.1 197.5
3.1652 16758.8 65.2
3.1703 16907.3 172.4
3.1753 16859.4 186.9
3.1803 16929.8 148.8
3.1852 17021.4 75.7
3.1902 17093.7 202.5
3.1952 17242.3 179.2
3.2003 17422.2 100.4
3.2052 17339.6 82.3
3.2103 17274.5 70.1
3.2153 17303.4 67.4
3.2203 17235.4 66.4
3.2252 17179.9 118.7
3.2302 17228.7 129.7
3.2352 17281.9 92.2
3.2403 17544.4 99.6
3.2452 17423.9 192.0
3.2502 17457.3 317.2
3.2553 17394.7 135.0
3.2603 17523.9 132.4
3.2652 17722.0 238.9
3.2702 17791.2 422.4
3.2752 17615.8 127.7
3.2803 17266.7 209.6
3.2853 17163.6 267.2
3.2902 17269.5 169.6
3.2953 17266.1 324.4
3.3003 17981.0 282.1
3.3053 17727.2 231.0
3.3102 17598.2 228.6
3.3152 17604.7 179.5
3.3202 17963.6 82.9
3.3253 17836.8 212.7
3.3302 17735.3 278.9
3.3353 18071.1 164.4
3.3403 17748.2 254.4
3.3453 18001.8 135.6
3.3502 18119.9 194.6
3.3552 18332.4 101.5
3.3602 18031.0 253.3
3.3653 18148.8 91.9
3.3702 18670.0 226.7
3.3752 18475.6 303.4
3.3803 18586.0 63.2
3.3853 18512.3 63.0
3.3902 18748.3 96.5
3.3952 18614.6 200.3
3.4002 18761.4 306.5
3.4053 18767.2 243.6
3.4103 18652.7 182.7
3.4152 18780.6 77.5
3.4203 18581.0 231.7
3.4253 18707.9 66.7
3.4303 18725.4 364.6
3.4352 19007.1 74.9
3.4402 18854.2 103.1
3.4452 18741.5 151.2
3.4503 18829.7 197.3
3.4552 18819.3 221.6
3.4603 18790.5 65.4
3.4653 18733.6 282.0
3.4703 18993.4 230.2
3.4752 19078.7 312.6
3.4802 18849.2 193.2
3.4852 18757.2 259.0
3.4903 18633.2 76.7
3.4952 18669.5 151.5
3.5002 18872.0 172.9
3.5053 18853.8 399.4
3.5103 18860.4 151.1
3.5152 19069.0 232.4
3.5202 18972.0 97.0
3.5252 18826.3 154.7
3.5303 18815.4 204.8
3.5353 18684.1 209.7
3.5402 18901.5 191.2
3.5453 18652.2 85.1
3.5503 18815.6 144.0
3.5553 19090.2 137.5
3.5602 19036.9 189.1
3.5652 18674.3 119.3
3.5702 18865.4 343.2
3.5753 19038.8 72.3
3.5802 19123.6 105.1
3.5853 18964.2 64.6
3.5903 18735.0 196.1
3.5953 18988.2 92.0
3.6002 18870.6 155.2
3.6052 19005.1 75.3
3.6102 18702.3 133.8
3.6153 18777.7 262.1
3.6202 19030.9 180.5
3.6252 18811.4 287.2
3.6303 18756.9 331.8
3.6353 18755.2 240.4
3.6402 18879.7 74.6
3.6452 18973.6 280.5
3.6502 19200.2 85.0
3.6553 19227.8 65.4
3.6603 19008.7 123.3
3.6652 19060.3 145.3
3.6703 19148.4 65.6
3.6753 19002.9 282.5
3.6803 19081.9 262.2
3.6852 19216.2 239.6
3.6902 19104.8 88.7
3.6952 19295.6 106.0
3.7003 19102.1 319.6
3.7052 19233.6 121.9
3.7103 19159.2 102.0
3.7153 19158.2 195.4
3.7203 19153.7 254.3
3.7252 19115.8 453.5
3.7302 18766.7 384.3
3.7352 18400.7 284.8
3.7403 19032.8 142.4
3.7452 19225.5 72.6
3.7502 19156.3 228.1
3.7553 19280.7 163.2
3.7603 18940.3 70.5
3.7652 18944.6 145.3
3.7702 18585.8 84.6
3.7752 18683.3 97.4
3.7803 18749.8 134.0
3.7853 18809.0 93.7
3.7902 18853.2 297.2
3.7953 18521.8 93.2
3.8003 18635.7 113.4
3.8053 18374.1 254.6
3.8102 18220.7 65.1
3.8152 18487.8 78.7
3.8202 18328.8 210.3
3.8253 18688.8 245.6
3.8302 18323.3 292.8
3.8353 18236.3 274.9
3.8403 18503.2 375.9
3.8453 18410.0 430.0
3.8502 18210.6 461.7
3.8552 18180.8 350.7
3.8602 17882.0 196.7
3.8653 17953.1 136.1
3.8702 18067.2 158.1
3.8752 18229.4 240.4
3.8803 17914.3 132.9
3.8853 17425.0 215.1
3.8902 17542.3 277.1
3.8952 17528.1 179.8
3.9002 17675.4 225.6
3.9053 17036.6 57.9
3.9103 17387.6 352.0
3.9152 17217.1 300.4
3.9203 16770.5 69.8
3.9253 16655.4 210.0
3.9303 16561.4 104.0
3.9352 16116.6 99.4
3.9402 15659.8 131.4
3.9452 15345.4 356.7
3.9503 14805.7 382.3
3.9552 13616.1 242.9
3.9603 12382.4 55.8
3.9653 11150.6 163.9
3.9703 10033.5 91.5
3.9752 8656.2 55.0
3.9802 7456.8 52.7
3.9852 6466.2 188.5
