# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F360M    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536081001_0210t_00001
#        jw01536081001_0210t_00002
#        jw01538058001_0210t_00001
#        jw01538058001_0210t_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.72-1.10-1.57%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.3762 659.6 4.2
3.3812 766.4 16.8
3.3848 1122.3 128.2
3.3898 1231.4 131.9
3.3948 1793.6 80.8
3.3998 2354.2 211.9
3.4047 3401.5 106.3
3.4097 4863.6 177.9
3.4147 6643.4 371.0
3.4197 8777.2 223.4
3.4248 11264.2 343.8
3.4298 13527.7 250.6
3.4348 15559.9 206.4
3.4398 17355.8 189.8
3.4447 18353.9 329.1
3.4497 18315.0 128.9
3.4547 18668.0 144.4
3.4597 18899.0 343.1
3.4647 19178.6 259.2
3.4698 19747.7 147.6
3.4748 20103.0 252.9
3.4798 20743.0 249.1
3.4848 21002.9 373.6
3.4897 21482.2 166.2
3.4947 21917.0 154.9
3.4997 22330.2 289.1
3.5047 22689.4 162.4
3.5098 23293.6 239.6
3.5148 23275.8 252.1
3.5198 23444.8 363.5
3.5248 23602.6 394.1
3.5297 23773.3 302.2
3.5347 23355.6 429.3
3.5397 23301.0 257.2
3.5447 22915.2 146.2
3.5498 22969.1 262.0
3.5548 23080.0 288.2
3.5598 23035.0 290.2
3.5648 23285.2 150.5
3.5697 23175.9 284.4
3.5747 23759.6 256.8
3.5797 24390.2 277.9
3.5847 24543.2 273.9
3.5897 24453.0 154.7
3.5948 24695.1 205.3
3.5998 24508.4 175.0
3.6048 24337.5 542.2
3.6098 24699.3 281.2
3.6147 24532.6 260.0
3.6197 24213.4 467.8
3.6247 23991.9 210.0
3.6297 23837.2 202.2
3.6348 23588.3 260.5
3.6398 23422.2 458.3
3.6448 23104.8 158.9
3.6498 22858.5 161.7
3.6547 23011.2 154.4
3.6597 23033.3 145.6
3.6647 23250.5 167.3
3.6697 23088.3 218.3
3.6748 23322.0 216.6
3.6798 23608.0 243.2
3.6848 23946.7 256.6
3.6898 24273.1 190.2
3.6947 24549.6 341.7
3.6997 25147.6 162.2
3.7047 25074.8 294.8
3.7097 25342.0 199.2
3.7147 25267.7 470.5
3.7198 25265.4 204.0
3.7248 25131.9 187.9
3.7298 25116.6 251.9
3.7348 25099.4 288.2
3.7397 24933.8 282.2
3.7447 25181.9 159.4
3.7497 25105.0 381.8
3.7547 24832.5 432.0
3.7598 24672.2 187.5
3.7648 23679.1 280.3
3.7698 22912.2 285.7
3.7748 21893.9 303.8
3.7797 20458.6 271.3
3.7847 19104.6 225.6
3.7897 17077.9 332.8
3.7947 15025.5 133.8
3.7998 12845.3 110.9
3.8048 10639.1 362.6
3.8098 9061.4 194.1
3.8148 7067.2 145.2
3.8197 5888.1 83.9
3.8247 4601.5 105.1
3.8297 3846.9 172.2
3.8347 2849.5 30.8
3.8397 2356.9 40.4
3.8448 1995.6 217.6
3.8498 1618.9 189.3
3.8548 1212.9 27.7
3.8598 1138.3 254.0
3.8632 849.6 5.4
