# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F360M    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536081001_0210f_00001
#        jw01536081001_0210f_00002
#        jw01537030001_0210f_00001
#        jw01537030001_0210f_00002
#        jw01538058001_0210f_00001
#        jw01538058001_0210f_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.98-1.28-1.71%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.3515 458.3 188.1
3.3565 595.7 60.8
3.3615 491.0 119.3
3.3665 558.4 78.0
3.3715 638.7 245.2
3.3765 704.5 264.8
3.3803 823.0 134.9
3.3853 1112.3 348.2
3.3895 1381.1 169.3
3.3945 1676.2 15.2
3.3995 2232.8 159.6
3.4045 3182.3 255.5
3.4095 4307.7 70.4
3.4145 6175.4 282.0
3.4195 7800.1 80.1
3.4245 10604.1 97.5
3.4295 13090.9 363.0
3.4345 15312.5 219.1
3.4395 16762.3 254.8
3.4445 17771.0 393.5
3.4495 18267.5 254.6
3.4545 18466.2 212.9
3.4595 18724.7 175.8
3.4645 19093.5 177.1
3.4695 19384.8 182.7
3.4745 19706.8 223.3
3.4795 20286.4 347.1
3.4845 20831.2 323.4
3.4895 21387.8 290.2
3.4945 21705.9 239.1
3.4995 21860.6 252.9
3.5045 22409.8 381.9
3.5095 22707.1 425.4
3.5145 23275.6 332.8
3.5195 23249.0 289.6
3.5245 23237.1 269.9
3.5295 23013.5 209.0
3.5345 22826.2 315.7
3.5395 22901.0 314.7
3.5445 22866.4 283.6
3.5495 22750.2 603.8
3.5545 22762.7 296.0
3.5595 22731.4 390.6
3.5645 22724.9 268.6
3.5695 23054.3 256.7
3.5745 23185.8 336.3
3.5795 23535.2 215.4
3.5845 23664.4 217.8
3.5895 24072.4 290.7
3.5945 24054.5 251.5
3.5995 24260.2 241.4
3.6045 23999.9 218.5
3.6095 24145.4 310.9
3.6145 23964.0 324.1
3.6195 23881.9 331.8
3.6245 23322.2 381.8
3.6295 23524.0 296.0
3.6345 22893.9 358.1
3.6395 22681.1 265.2
3.6445 22526.2 203.7
3.6495 22763.3 318.9
3.6545 22859.0 248.6
3.6595 22880.7 257.4
3.6645 22768.9 275.8
3.6695 23182.9 432.8
3.6745 23242.3 290.5
3.6795 23365.3 295.5
3.6845 23770.5 391.3
3.6895 24104.9 473.3
3.6945 24133.4 358.4
3.6995 24305.2 376.7
3.7045 24639.9 312.6
3.7095 24792.4 235.3
3.7145 24687.6 268.4
3.7195 24477.7 231.4
3.7245 24647.7 351.4
3.7295 24616.2 233.7
3.7345 24648.4 685.2
3.7395 24745.2 526.2
3.7445 25293.2 506.4
3.7495 24422.3 394.7
3.7545 24369.0 245.3
3.7595 23951.3 463.2
3.7645 23419.2 213.1
3.7695 22769.3 383.0
3.7745 21679.5 276.0
3.7795 20145.8 332.6
3.7845 18775.9 260.2
3.7895 16751.0 186.0
3.7945 14573.3 169.5
3.7995 12462.3 288.6
3.8045 10432.0 170.9
3.8095 8496.4 111.9
3.8145 6846.1 82.4
3.8195 5560.6 139.1
3.8245 4288.0 200.6
3.8295 3375.2 84.4
3.8345 2583.5 147.9
3.8392 2191.6 45.2
3.8442 1895.7 174.1
3.8493 1366.1 62.4
3.8542 1100.5 72.3
3.8593 908.6 152.0
3.8643 746.7 250.0
3.8693 615.1 38.4
