# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F360M    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536083001_0210t_00001
#        jw01536083001_0210t_00002
#        jw01538059001_0210t_00001
#        jw01538059001_0210t_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.62-0.98-1.49%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.3675 360.6 227.9
3.3730 518.2 37.1
3.3780 526.5 205.9
3.3830 786.3 156.9
3.3880 993.2 173.4
3.3930 1375.0 145.7
3.3980 1753.7 81.5
3.4030 2354.5 111.6
3.4080 3342.1 38.4
3.4130 4491.3 78.5
3.4180 6010.0 155.5
3.4230 7604.8 66.1
3.4280 9966.9 184.3
3.4330 11983.7 100.3
3.4380 13309.8 80.6
3.4430 14415.8 86.2
3.4480 14675.9 149.0
3.4530 15254.7 180.5
3.4580 15270.2 124.6
3.4630 15504.8 94.0
3.4680 15636.2 101.8
3.4730 15852.5 96.0
3.4780 16331.4 106.5
3.4830 16677.2 133.8
3.4880 16870.0 208.9
3.4930 17385.5 336.0
3.4980 18116.8 317.4
3.5030 17967.8 128.2
3.5080 17978.4 165.9
3.5130 18397.6 125.8
3.5180 18456.9 120.5
3.5230 18359.8 209.3
3.5280 18123.0 180.9
3.5330 18166.6 108.8
3.5380 17828.2 107.6
3.5430 18183.0 177.4
3.5480 17837.5 173.4
3.5530 17602.6 296.0
3.5580 18079.5 151.1
3.5630 18274.2 118.4
3.5680 17918.2 223.8
3.5730 18536.0 151.8
3.5780 18468.1 119.7
3.5830 18869.6 119.9
3.5880 18811.7 317.6
3.5930 18871.2 315.4
3.5980 18958.4 115.3
3.6030 18952.6 247.7
3.6080 18883.1 156.1
3.6130 18663.3 183.0
3.6180 18627.0 250.7
3.6230 18725.7 270.3
3.6280 18310.6 331.3
3.6330 18291.4 204.4
3.6380 17885.3 107.0
3.6430 18342.2 112.9
3.6480 17964.6 267.0
3.6530 18015.7 136.4
3.6580 17965.7 177.9
3.6630 18336.6 228.7
3.6680 18244.9 109.3
3.6730 18305.8 389.3
3.6780 18147.3 158.3
3.6830 18632.3 146.9
3.6880 18835.2 112.7
3.6930 18785.9 272.1
3.6980 19270.6 242.9
3.7030 19295.8 258.0
3.7080 19022.4 134.0
3.7130 19111.6 213.7
3.7180 19102.9 114.4
3.7230 19271.1 189.2
3.7280 19022.7 147.7
3.7330 18631.7 408.9
3.7380 18867.6 112.8
3.7430 19309.0 223.7
3.7480 18986.9 266.5
3.7530 18968.9 215.6
3.7580 18869.7 299.6
3.7630 18336.3 164.2
3.7680 18006.0 115.8
3.7730 17116.0 188.2
3.7780 16624.8 171.1
3.7830 15723.2 222.9
3.7880 14684.3 150.8
3.7930 13290.5 204.7
3.7980 11552.3 258.8
3.8030 10318.9 82.2
3.8080 8387.1 148.6
3.8130 6949.9 259.1
3.8180 5928.5 36.5
3.8230 4761.2 232.5
3.8280 3828.9 219.8
3.8330 2947.9 80.7
3.8380 2441.4 57.2
3.8435 1700.2 195.8
