# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F360M    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536083001_0210f_00001
#        jw01536083001_0210f_00002
#        jw01537031001_0210f_00001
#        jw01537031001_0210f_00002
#        jw01538059001_0210f_00001
#        jw01538059001_0210f_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.27-1.44-1.88%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.3680 631.7 7.6
3.3730 626.3 241.4
3.3780 862.8 217.6
3.3830 1063.5 205.8
3.3880 1188.3 110.7
3.3930 1534.5 211.8
3.3980 1944.1 203.0
3.4030 2830.5 119.0
3.4080 3520.2 145.6
3.4130 4873.4 173.6
3.4180 6671.1 258.5
3.4230 8144.1 113.9
3.4280 10151.7 122.6
3.4330 12065.0 189.1
3.4380 13800.3 269.2
3.4430 14436.7 198.6
3.4480 15106.1 265.1
3.4530 15228.1 186.7
3.4580 15297.4 198.7
3.4630 15914.4 433.5
3.4680 16005.4 195.3
3.4730 16322.8 211.6
3.4780 16583.4 271.0
3.4830 17159.4 317.4
3.4880 17585.2 261.0
3.4930 17887.0 251.2
3.4980 18125.7 236.8
3.5030 18252.1 268.1
3.5080 18516.7 306.6
3.5130 18765.9 262.6
3.5180 18711.9 264.3
3.5230 18618.8 267.6
3.5280 18653.3 237.8
3.5330 18424.2 330.0
3.5380 18506.3 297.5
3.5430 18290.3 267.3
3.5480 18130.0 440.2
3.5530 18235.2 228.8
3.5580 18357.2 509.6
3.5630 18281.3 259.6
3.5680 18408.9 255.7
3.5730 18545.0 277.8
3.5780 18757.8 281.7
3.5830 18707.8 261.7
3.5880 19025.2 265.7
3.5930 19210.0 231.8
3.5980 19543.0 502.3
3.6030 19213.8 304.0
3.6080 19195.2 252.6
3.6130 18953.7 228.0
3.6180 19006.5 386.3
3.6230 18774.8 262.4
3.6280 18493.6 250.9
3.6330 18272.4 284.4
3.6380 18021.8 353.1
3.6430 18253.7 220.1
3.6480 18189.8 259.2
3.6530 18109.9 229.9
3.6580 18139.9 268.3
3.6630 18224.5 268.0
3.6680 18170.3 338.8
3.6730 18387.8 245.4
3.6780 18529.5 238.9
3.6830 18517.4 225.3
3.6880 18924.8 308.2
3.6930 18667.2 381.1
3.6980 18737.9 340.1
3.7030 19321.7 252.3
3.7080 18987.0 390.7
3.7130 19372.0 280.3
3.7180 19153.1 248.8
3.7230 18947.1 255.9
3.7280 18979.8 262.8
3.7330 19106.4 234.4
3.7380 19079.0 450.3
3.7430 19176.2 241.2
3.7480 19142.8 275.3
3.7530 18978.5 348.2
3.7580 18777.8 370.0
3.7630 18416.0 240.5
3.7680 18099.2 445.5
3.7730 17549.6 285.3
3.7780 16829.7 202.6
3.7830 16093.1 212.7
3.7880 15317.0 287.9
3.7930 13516.9 162.6
3.7980 12176.9 204.8
3.8030 10523.5 175.8
3.8080 9116.8 290.7
3.8130 7271.2 273.5
3.8180 6025.2 243.5
3.8230 5042.5 168.8
3.8280 3977.1 302.7
3.8330 3079.6 147.3
3.8380 2389.2 123.8
3.8430 1875.3 184.7
3.8480 1736.3 199.1
3.8550 1427.6 121.3
