# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F410M    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536082001_0210f_00001
#        jw01536082001_0210f_00002
#        jw01538072001_16101_00001
#        jw01538072001_16101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.12-1.42-2.08%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.7992 935.9 31.7
3.8042 936.6 174.7
3.8093 1202.1 169.8
3.8143 1663.9 194.0
3.8193 2245.5 198.1
3.8243 3148.4 182.3
3.8293 3812.2 202.9
3.8342 5071.5 106.0
3.8392 6137.9 310.7
3.8442 7692.3 439.6
3.8492 9611.7 199.6
3.8543 11447.1 530.7
3.8593 13344.6 241.9
3.8643 15281.4 352.8
3.8693 17033.8 207.0
3.8742 18543.9 263.2
3.8792 19300.7 254.9
3.8842 20621.6 301.0
3.8892 21209.8 254.7
3.8942 21738.5 350.4
3.8993 21690.6 413.3
3.9043 21882.7 415.0
3.9093 22806.2 370.5
3.9143 22529.9 251.0
3.9192 22420.7 299.2
3.9242 22553.0 297.9
3.9292 22724.0 366.8
3.9343 22282.4 268.9
3.9393 22304.1 254.7
3.9443 22311.2 322.6
3.9493 22621.5 329.7
3.9543 22308.6 352.6
3.9592 22348.9 267.6
3.9642 22450.5 247.7
3.9692 22496.7 476.2
3.9742 22415.4 250.0
3.9793 22637.7 478.8
3.9843 22686.3 267.9
3.9893 22722.7 391.4
3.9943 22650.0 284.8
3.9992 22188.5 285.4
4.0042 22753.9 323.2
4.0092 22916.0 353.3
4.0143 22287.7 310.0
4.0192 22656.8 314.6
4.0243 22721.3 494.1
4.0292 22623.4 299.5
4.0343 22262.3 244.2
4.0393 22177.7 242.5
4.0442 21659.4 448.1
4.0493 21669.1 352.2
4.0542 22539.3 513.0
4.0593 22515.1 365.1
4.0642 22351.9 265.4
4.0693 21918.9 315.7
4.0743 21928.6 262.1
4.0793 22221.9 266.0
4.0842 21716.9 523.9
4.0892 21909.1 357.2
4.0943 21763.8 567.8
4.0992 22117.7 365.0
4.1043 21393.3 230.9
4.1092 21532.4 369.2
4.1143 21526.9 250.2
4.1193 21371.0 239.3
4.1242 21126.7 230.5
4.1292 21077.3 232.1
4.1342 21214.2 371.6
4.1393 21025.5 255.3
4.1442 21187.2 236.8
4.1493 21462.8 294.4
4.1542 20980.7 448.6
4.1593 21242.9 246.1
4.1643 21161.3 412.0
4.1692 21373.5 312.4
4.1743 21644.8 233.6
4.1792 21630.5 321.9
4.1843 21406.3 244.7
4.1892 21486.6 270.2
4.1943 21204.8 555.4
4.1993 21024.3 503.3
4.2043 21254.0 462.2
4.2092 21266.8 321.7
4.2142 20985.6 264.2
4.2193 20767.0 402.1
4.2242 20515.1 299.1
4.2293 20282.2 221.6
4.2342 20376.0 251.2
4.2393 20113.8 322.9
4.2443 19934.6 217.4
4.2492 19037.8 244.9
4.2542 18506.5 205.2
4.2592 17525.5 313.9
4.2643 16539.9 345.7
4.2692 15020.2 167.6
4.2743 13737.7 480.0
4.2792 11972.0 531.9
4.2843 10514.6 509.1
4.2893 9072.1 648.0
4.2942 7878.6 534.7
4.2993 6594.7 287.4
4.3042 5769.1 547.4
4.3093 4872.6 326.7
4.3142 4088.6 304.1
4.3193 3232.6 210.2
4.3243 2882.8 272.1
4.3293 2118.0 70.4
4.3342 1640.6 203.4
4.3392 1194.5 156.1
4.3443 906.3 232.6
