# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F410M    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536082001_02105_00001
#        jw01536082001_02105_00002
#        jw01537041001_06101_00001
#        jw01537041001_06101_00002
#        jw01538072001_06101_00001
#        jw01538072001_06101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.94-1.31-1.92%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.7888 641.3 5.3
3.7938 677.5 264.8
3.7995 803.4 248.8
3.8045 917.6 181.8
3.8090 999.8 206.7
3.8140 1665.8 165.4
3.8190 1947.4 250.3
3.8240 2721.5 169.2
3.8290 3507.3 69.9
3.8340 4630.1 223.3
3.8390 5729.3 307.6
3.8440 7339.8 356.5
3.8490 9044.8 370.3
3.8540 11214.2 379.5
3.8590 12782.3 340.4
3.8640 14877.6 286.7
3.8690 16682.2 261.2
3.8740 18147.4 238.6
3.8790 19119.8 306.1
3.8840 20260.6 212.7
3.8890 21213.5 238.3
3.8940 21620.5 203.8
3.8990 21991.7 368.5
3.9040 22139.3 422.6
3.9090 21929.9 307.5
3.9140 22092.2 209.4
3.9190 22721.6 522.3
3.9240 21626.8 1174.2
3.9290 22225.9 434.0
3.9340 22622.9 389.7
3.9390 22363.2 358.3
3.9440 22494.6 185.6
3.9490 22584.2 346.7
3.9540 22433.0 327.3
3.9590 22161.3 303.6
3.9640 22268.9 201.4
3.9690 22333.3 262.5
3.9740 22539.8 243.7
3.9790 22538.3 276.8
3.9840 22210.4 182.4
3.9890 22491.2 298.2
3.9940 22457.4 468.3
3.9990 22543.7 352.0
4.0040 22313.6 385.7
4.0090 22241.8 324.2
4.0140 22297.3 693.0
4.0190 22149.5 281.7
4.0240 22099.1 499.1
4.0290 22854.9 815.3
4.0340 22005.9 364.5
4.0390 21959.9 207.3
4.0440 21230.8 229.9
4.0490 21455.8 245.5
4.0540 21813.7 179.7
4.0590 21863.5 240.5
4.0640 22024.8 190.4
4.0690 21855.8 237.0
4.0740 21890.6 229.4
4.0790 22023.8 386.5
4.0840 21843.0 462.9
4.0890 22081.4 338.7
4.0940 21958.9 205.5
4.0990 21751.5 272.8
4.1040 21645.4 214.3
4.1090 21555.6 202.2
4.1140 21413.9 307.5
4.1190 21612.7 301.3
4.1240 21451.7 234.8
4.1290 21482.0 286.9
4.1340 21235.2 180.5
4.1390 21160.8 259.6
4.1440 21034.5 224.5
4.1490 21034.6 276.5
4.1540 20990.8 269.1
4.1590 20950.1 310.9
4.1640 21114.5 179.0
4.1690 21501.5 451.2
4.1740 21291.0 197.0
4.1790 21320.0 224.1
4.1840 21234.9 241.4
4.1890 21048.8 249.0
4.1940 20905.3 286.7
4.1990 21152.9 190.5
4.2040 20895.8 173.2
4.2090 20908.0 235.2
4.2140 20655.7 315.0
4.2190 20577.8 171.8
4.2240 20479.3 169.4
4.2290 20300.4 280.4
4.2340 20206.0 196.6
4.2390 20124.2 282.0
4.2440 19690.5 211.0
4.2490 19139.8 157.4
4.2540 18633.2 280.2
4.2590 17567.9 235.5
4.2640 16141.9 393.1
4.2690 14832.9 459.5
4.2740 13261.4 292.7
4.2790 11611.9 184.9
4.2840 10134.1 230.0
4.2890 8751.8 335.8
4.2940 7547.8 284.0
4.2990 6168.2 69.5
4.3040 5494.9 378.1
4.3090 4661.0 429.0
4.3140 3699.9 180.3
4.3190 2973.1 198.0
4.3240 2339.4 61.6
4.3290 1764.4 352.8
4.3340 1510.0 295.2
4.3390 1351.6 170.2
4.3445 825.6 218.5
4.3495 684.9 256.3
4.3540 429.8 86.4
