# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F410M    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536084001_0210f_00001
#        jw01536084001_0210f_00002
#        jw01538073001_16101_00001
#        jw01538073001_16101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.30-0.89-1.48%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.8290 868.0 165.2
3.8340 938.8 158.2
3.8390 1268.4 128.1
3.8440 1485.8 47.7
3.8490 2028.5 209.3
3.8540 2552.4 94.6
3.8590 3031.5 28.1
3.8640 3885.8 158.8
3.8690 4814.6 367.0
3.8740 6083.3 210.5
3.8790 7341.4 54.0
3.8840 8578.2 277.2
3.8890 10102.3 107.7
3.8940 11728.6 52.2
3.8990 12773.5 190.4
3.9040 13936.7 188.2
3.9090 15120.3 283.0
3.9140 15886.2 166.0
3.9190 16220.3 167.8
3.9240 16560.7 306.4
3.9290 16570.2 185.0
3.9340 16472.0 107.7
3.9390 16523.7 50.9
3.9440 16604.1 120.6
3.9490 16609.1 161.5
3.9540 16584.9 125.3
3.9590 16669.7 60.3
3.9640 16760.2 48.4
3.9690 16641.4 232.4
3.9740 16897.1 385.7
3.9790 17010.8 457.5
3.9840 16684.4 274.5
3.9890 16707.6 211.2
3.9940 16475.2 44.1
3.9990 16658.5 41.1
4.0040 16731.9 151.6
4.0090 16898.5 299.6
4.0140 16933.8 226.0
4.0190 16599.6 330.4
4.0240 16757.2 80.5
4.0290 16668.8 47.6
4.0340 16779.2 146.1
4.0390 16503.7 42.1
4.0440 16308.7 46.6
4.0490 16033.5 321.8
4.0540 16483.2 132.4
4.0590 16547.7 192.0
4.0640 16531.8 115.3
4.0690 16565.1 160.0
4.0740 16509.3 150.8
4.0790 16460.9 92.5
4.0840 16423.9 80.7
4.0890 16673.7 233.1
4.0940 16352.0 141.6
4.0990 16311.0 114.1
4.1040 16519.0 72.6
4.1090 16478.8 146.6
4.1140 16458.4 192.1
4.1190 16180.0 39.9
4.1240 16298.0 129.0
4.1290 16175.8 154.0
4.1340 16231.1 155.6
4.1390 16455.3 211.2
4.1440 16239.6 149.2
4.1490 16317.3 40.3
4.1540 16082.3 39.7
4.1590 16069.0 48.3
4.1640 16211.0 107.7
4.1690 16610.2 220.2
4.1740 16310.5 40.2
4.1790 16157.9 199.1
4.1840 16177.5 176.9
4.1890 16062.9 97.1
4.1940 16284.2 267.8
4.1990 15944.9 88.2
4.2040 15783.3 112.8
4.2090 15912.6 200.4
4.2140 15910.8 49.5
4.2190 15854.4 154.5
4.2240 15881.9 208.0
4.2290 15729.6 47.2
4.2340 15699.6 88.0
4.2390 15600.2 42.8
4.2440 15416.1 47.6
4.2490 15116.7 63.1
4.2540 15076.6 60.0
4.2590 14791.4 168.3
4.2640 14548.6 131.6
4.2690 13968.4 115.4
4.2740 13450.3 73.8
4.2790 12707.9 243.4
4.2840 11496.1 188.1
4.2890 10227.6 27.1
4.2940 8742.3 247.7
4.2990 7584.9 172.7
4.3040 6540.2 378.7
4.3090 5712.6 483.2
4.3140 4533.2 262.7
4.3190 3809.8 126.2
4.3240 3291.2 146.5
4.3290 2549.3 116.6
4.3340 2218.3 217.2
4.3390 1819.6 136.0
4.3440 1462.1 42.1
4.3490 1197.3 16.6
4.3555 790.9 139.0
